MAF ldscore
0.0149087 1.30112
0.24087 4.00709
0.246185 3.83674
0.400411 3.03597
0.198611 4.5815
0.179277 2.38191
0.396185 4.00024
0.0415143 2.70779
0.219897 4.7172
0.03071 1.19318
0.0385995 1.44262
0.230701 4.36593
0.0535889 5.02329
0.0706433 2.45941
0.042982 2.76137
0.0535923 5.02219
0.0529503 5.00221
0.0222403 4.03454
0.0621822 4.46565
0.0102756 1.194
0.159306 3.54825
0.409846 4.64583
0.229177 4.09805
0.162554 4.34441
0.0851607 1.72882
0.229537 4.54597
0.0377667 4.01543
0.0608433 1.49622
0.0372815 4.00634
0.395171 5.25602
0.370445 5.31562
0.100801 1.8102
0.135982 5.17585
0.0203829 3.57844
0.342402 5.27122
0.0123458 1.15456
0.0117433 1.22169
0.0269112 2.31889
0.152843 4.99622
0.0491772 3.80228
0.143906 4.7777
0.425767 4.73926
0.0522568 3.62347
0.0218798 1.44733
0.0208327 1.77531
0.133215 4.45226
0.0287067 1.32082
0.113431 2.36619
0.0233544 1.47587
0.0173222 1.76048
0.0164399 1.38737
0.439536 2.87854
0.0236033 2.18616
0.318873 1.94107
0.0895225 1.98522
0.226645 2.72424
0.0282089 2.41011
0.0244513 2.36122
0.380344 2.53282
0.065739 1.3138
0.18162 2.08626
0.0975356 4.17636
0.0748971 4.48918
0.031625 1.83751
0.0718931 4.5246
0.0218987 2.24745
0.0243414 2.73885
0.0148469 1.11656
0.0180569 2.5803
0.0968267 3.63753
0.0131028 1.22596
0.041468 1.48608
0.0383455 2.22473
0.0129089 1.17906
0.0955341 4.89514
0.116015 4.79827
0.0588074 1.26696
0.0945264 4.90019
0.099302 4.14215
0.115093 2.1171
0.0735787 1.86
0.0232977 1.68306
0.0267773 3.49616
0.0499961 3.43994
0.0162682 1.85547
0.0247483 2.28604
0.0339269 1.26885
0.027857 3.51832
0.0266005 1.17864
0.0405359 2.39539
0.0183436 2.47317
0.0306894 1.4971
0.016797 2.00057
0.0300526 1.69949
0.0473559 2.01182
0.0366838 1.94655
0.237008 1.66154
0.0173566 2.10229
0.0145276 1.06796
0.0115733 1.1247
